n:131 mse_avg:3.17 mse_y:5.56 mse_u:0.69 mse_v:0.87 psnr_avg:43.12 psnr_y:40.68 psnr_u:49.72 psnr_v:48.73 
n:132 mse_avg:2.41 mse_y:4.15 mse_u:0.60 mse_v:0.75 psnr_avg:44.31 psnr_y:41.95 psnr_u:50.35 psnr_v:49.39 
n:133 mse_avg:2.94 mse_y:5.02 mse_u:0.75 mse_v:0.96 psnr_avg:43.45 psnr_y:41.12 psnr_u:49.39 psnr_v:48.30 
n:134 mse_avg:2.34 mse_y:3.96 mse_u:0.64 mse_v:0.79 psnr_avg:44.44 psnr_y:42.15 psnr_u:50.05 psnr_v:49.16 
n:135 mse_avg:3.40 mse_y:5.82 mse_u:0.83 mse_v:1.13 psnr_avg:42.82 psnr_y:40.48 psnr_u:48.92 psnr_v:47.59 
n:136 mse_avg:3.50 mse_y:6.02 mse_u:0.84 mse_v:1.11 psnr_avg:42.69 psnr_y:40.33 psnr_u:48.88 psnr_v:47.67 
n:137 mse_avg:2.34 mse_y:4.00 mse_u:0.61 mse_v:0.76 psnr_avg:44.44 psnr_y:42.11 psnr_u:50.27 psnr_v:49.34 
n:138 mse_avg:2.12 mse_y:3.65 mse_u:0.56 mse_v:0.64 psnr_avg:44.86 psnr_y:42.51 psnr_u:50.69 psnr_v:50.09 
n:139 mse_avg:2.16 mse_y:3.70 mse_u:0.55 mse_v:0.68 psnr_avg:44.79 psnr_y:42.45 psnr_u:50.74 psnr_v:49.83 
n:140 mse_avg:2.22 mse_y:3.80 mse_u:0.58 mse_v:0.71 psnr_avg:44.67 psnr_y:42.34 psnr_u:50.52 psnr_v:49.62 
n:141 mse_avg:2.43 mse_y:4.13 mse_u:0.67 mse_v:0.81 psnr_avg:44.27 psnr_y:41.97 psnr_u:49.86 psnr_v:49.04 
n:142 mse_avg:3.33 mse_y:5.73 mse_u:0.82 mse_v:1.02 psnr_avg:42.91 psnr_y:40.55 psnr_u:48.97 psnr_v:48.05 
n:143 mse_avg:3.24 mse_y:5.61 mse_u:0.76 mse_v:0.96 psnr_avg:43.03 psnr_y:40.64 psnr_u:49.31 psnr_v:48.33 
n:144 mse_avg:3.49 mse_y:6.08 mse_u:0.82 mse_v:1.00 psnr_avg:42.70 psnr_y:40.29 psnr_u:49.00 psnr_v:48.11 
n:145 mse_avg:2.42 mse_y:4.21 mse_u:0.58 mse_v:0.69 psnr_avg:44.29 psnr_y:41.89 psnr_u:50.48 psnr_v:49.75 
n:146 mse_avg:2.87 mse_y:4.98 mse_u:0.71 mse_v:0.80 psnr_avg:43.56 psnr_y:41.15 psnr_u:49.65 psnr_v:49.12 
n:147 mse_avg:2.14 mse_y:3.66 mse_u:0.57 mse_v:0.68 psnr_avg:44.83 psnr_y:42.50 psnr_u:50.60 psnr_v:49.82 
n:148 mse_avg:2.10 mse_y:3.57 mse_u:0.56 mse_v:0.69 psnr_avg:44.91 psnr_y:42.60 psnr_u:50.67 psnr_v:49.73 
n:149 mse_avg:2.44 mse_y:4.18 mse_u:0.64 mse_v:0.78 psnr_avg:44.25 psnr_y:41.92 psnr_u:50.07 psnr_v:49.19 
n:150 mse_avg:1.96 mse_y:3.32 mse_u:0.52 mse_v:0.66 psnr_avg:45.22 psnr_y:42.91 psnr_u:50.98 psnr_v:49.96 
n:151 mse_avg:2.59 mse_y:4.46 mse_u:0.64 mse_v:0.81 psnr_avg:44.00 psnr_y:41.64 psnr_u:50.08 psnr_v:49.04 
n:152 mse_avg:2.42 mse_y:4.15 mse_u:0.61 mse_v:0.77 psnr_avg:44.29 psnr_y:41.95 psnr_u:50.30 psnr_v:49.29 
n:153 mse_avg:2.47 mse_y:4.25 mse_u:0.60 mse_v:0.76 psnr_avg:44.21 psnr_y:41.84 psnr_u:50.38 psnr_v:49.30 
