n:102 mse_avg:4.11 mse_y:7.12 mse_u:1.02 mse_v:1.19 psnr_avg:41.99 psnr_y:39.61 psnr_u:48.06 psnr_v:47.39 
n:103 mse_avg:4.22 mse_y:7.38 mse_u:0.99 mse_v:1.13 psnr_avg:41.88 psnr_y:39.45 psnr_u:48.17 psnr_v:47.60 
n:104 mse_avg:4.64 mse_y:8.20 mse_u:0.99 mse_v:1.17 psnr_avg:41.47 psnr_y:38.99 psnr_u:48.17 psnr_v:47.44 
n:105 mse_avg:4.28 mse_y:7.60 mse_u:0.86 mse_v:1.05 psnr_avg:41.82 psnr_y:39.32 psnr_u:48.77 psnr_v:47.92 
n:106 mse_avg:3.57 mse_y:6.28 mse_u:0.78 mse_v:0.93 psnr_avg:42.61 psnr_y:40.15 psnr_u:49.19 psnr_v:48.46 
n:107 mse_avg:3.67 mse_y:6.40 mse_u:0.86 mse_v:1.02 psnr_avg:42.49 psnr_y:40.07 psnr_u:48.79 psnr_v:48.03 
n:108 mse_avg:2.91 mse_y:5.12 mse_u:0.65 mse_v:0.74 psnr_avg:43.50 psnr_y:41.04 psnr_u:50.03 psnr_v:49.43 
n:109 mse_avg:3.63 mse_y:6.46 mse_u:0.73 mse_v:0.87 psnr_avg:42.53 psnr_y:40.03 psnr_u:49.52 psnr_v:48.73 
n:110 mse_avg:2.66 mse_y:4.71 mse_u:0.56 mse_v:0.67 psnr_avg:43.88 psnr_y:41.40 psnr_u:50.64 psnr_v:49.86 
n:111 mse_avg:3.66 mse_y:6.56 mse_u:0.68 mse_v:0.84 psnr_avg:42.50 psnr_y:39.96 psnr_u:49.78 psnr_v:48.89 
n:112 mse_avg:3.26 mse_y:5.85 mse_u:0.61 mse_v:0.74 psnr_avg:43.00 psnr_y:40.46 psnr_u:50.29 psnr_v:49.42 
n:113 mse_avg:3.87 mse_y:7.01 mse_u:0.66 mse_v:0.81 psnr_avg:42.25 psnr_y:39.67 psnr_u:49.97 psnr_v:49.06 
n:114 mse_avg:3.05 mse_y:5.48 mse_u:0.56 mse_v:0.69 psnr_avg:43.29 psnr_y:40.75 psnr_u:50.69 psnr_v:49.75 
n:115 mse_avg:3.00 mse_y:5.45 mse_u:0.51 mse_v:0.61 psnr_avg:43.36 psnr_y:40.77 psnr_u:51.09 psnr_v:50.26 
n:116 mse_avg:2.69 mse_y:4.92 mse_u:0.41 mse_v:0.51 psnr_avg:43.84 psnr_y:41.21 psnr_u:52.05 psnr_v:51.09 
n:117 mse_avg:3.98 mse_y:7.34 mse_u:0.57 mse_v:0.69 psnr_avg:42.13 psnr_y:39.47 psnr_u:50.59 psnr_v:49.74 
n:118 mse_avg:3.65 mse_y:6.67 mse_u:0.58 mse_v:0.69 psnr_avg:42.51 psnr_y:39.89 psnr_u:50.52 psnr_v:49.74 
n:119 mse_avg:4.22 mse_y:7.79 mse_u:0.59 mse_v:0.72 psnr_avg:41.88 psnr_y:39.22 psnr_u:50.41 psnr_v:49.54 
n:120 mse_avg:3.11 mse_y:5.65 mse_u:0.50 mse_v:0.62 psnr_avg:43.21 psnr_y:40.61 psnr_u:51.12 psnr_v:50.21 
n:121 mse_avg:3.83 mse_y:6.95 mse_u:0.63 mse_v:0.77 psnr_avg:42.30 psnr_y:39.71 psnr_u:50.11 psnr_v:49.26 
n:122 mse_avg:3.17 mse_y:5.65 mse_u:0.62 mse_v:0.78 psnr_avg:43.12 psnr_y:40.61 psnr_u:50.23 psnr_v:49.22 
n:123 mse_avg:3.33 mse_y:5.95 mse_u:0.66 mse_v:0.77 psnr_avg:42.90 psnr_y:40.39 psnr_u:49.93 psnr_v:49.24 
n:124 mse_avg:2.54 mse_y:4.50 mse_u:0.53 mse_v:0.64 psnr_avg:44.08 psnr_y:41.60 psnr_u:50.85 psnr_v:50.04 
n:125 mse_avg:3.53 mse_y:6.26 mse_u:0.71 mse_v:0.88 psnr_avg:42.66 psnr_y:40.17 psnr_u:49.63 psnr_v:48.68 
n:126 mse_avg:3.21 mse_y:5.71 mse_u:0.63 mse_v:0.81 psnr_avg:43.06 psnr_y:40.57 psnr_u:50.14 psnr_v:49.04 
n:127 mse_avg:3.66 mse_y:6.56 mse_u:0.68 mse_v:0.85 psnr_avg:42.49 psnr_y:39.96 psnr_u:49.81 psnr_v:48.84 
n:128 mse_avg:3.01 mse_y:5.33 mse_u:0.61 mse_v:0.78 psnr_avg:43.34 psnr_y:40.86 psnr_u:50.28 psnr_v:49.20 
n:129 mse_avg:3.56 mse_y:6.35 mse_u:0.69 mse_v:0.86 psnr_avg:42.61 psnr_y:40.10 psnr_u:49.76 psnr_v:48.77 
n:130 mse_avg:3.30 mse_y:5.80 mse_u:0.70 mse_v:0.89 psnr_avg:42.95 psnr_y:40.50 psnr_u:49.69 psnr_v:48.63 
n:131 mse_avg:3.47 mse_y:6.11 mse_u:0.72 mse_v:0.92 psnr_avg:42.73 psnr_y:40.27 psnr_u:49.53 psnr_v:48.48 
n:132 mse_avg:2.70 mse_y:4.70 mse_u:0.63 mse_v:0.77 psnr_avg:43.82 psnr_y:41.41 psnr_u:50.17 psnr_v:49.27 
n:133 mse_avg:3.92 mse_y:6.78 mse_u:0.90 mse_v:1.20 psnr_avg:42.20 psnr_y:39.82 psnr_u:48.58 psnr_v:47.33 
n:134 mse_avg:3.65 mse_y:6.23 mse_u:0.91 mse_v:1.21 psnr_avg:42.51 psnr_y:40.18 psnr_u:48.54 psnr_v:47.30 
n:135 mse_avg:3.07 mse_y:5.30 mse_u:0.74 mse_v:0.94 psnr_avg:43.26 psnr_y:40.88 psnr_u:49.41 psnr_v:48.42 
n:136 mse_avg:3.38 mse_y:5.77 mse_u:0.87 mse_v:1.09 psnr_avg:42.85 psnr_y:40.52 psnr_u:48.75 psnr_v:47.74 
n:137 mse_avg:2.57 mse_y:4.43 mse_u:0.65 mse_v:0.80 psnr_avg:44.02 psnr_y:41.67 psnr_u:49.99 psnr_v:49.13 
n:138 mse_avg:2.34 mse_y:3.99 mse_u:0.63 mse_v:0.74 psnr_avg:44.44 psnr_y:42.12 psnr_u:50.12 psnr_v:49.46 
n:139 mse_avg:2.34 mse_y:4.00 mse_u:0.61 mse_v:0.74 psnr_avg:44.44 psnr_y:42.11 psnr_u:50.31 psnr_v:49.43 
n:140 mse_avg:2.81 mse_y:4.81 mse_u:0.71 mse_v:0.88 psnr_avg:43.65 psnr_y:41.31 psnr_u:49.59 psnr_v:48.67 
