n:140 mse_avg:1152.13 mse_y:2182.17 mse_u:135.36 mse_v:108.80 psnr_avg:17.52 psnr_y:14.74 psnr_u:26.82 psnr_v:27.76 
n:141 mse_avg:1037.50 mse_y:1941.35 mse_u:144.71 mse_v:122.61 psnr_avg:17.97 psnr_y:15.25 psnr_u:26.53 psnr_v:27.25 
n:142 mse_avg:765.34 mse_y:1380.51 mse_u:163.65 mse_v:136.71 psnr_avg:19.29 psnr_y:16.73 psnr_u:25.99 psnr_v:26.77 
n:143 mse_avg:699.98 mse_y:1247.32 mse_u:168.27 mse_v:137.00 psnr_avg:19.68 psnr_y:17.17 psnr_u:25.87 psnr_v:26.76 
n:144 mse_avg:756.09 mse_y:1362.04 mse_u:165.54 mse_v:134.75 psnr_avg:19.35 psnr_y:16.79 psnr_u:25.94 psnr_v:26.84 
n:145 mse_avg:872.55 mse_y:1593.00 mse_u:166.65 mse_v:137.56 psnr_avg:18.72 psnr_y:16.11 psnr_u:25.91 psnr_v:26.75 
n:146 mse_avg:860.18 mse_y:1571.53 mse_u:162.32 mse_v:135.34 psnr_avg:18.78 psnr_y:16.17 psnr_u:26.03 psnr_v:26.82 
n:147 mse_avg:925.69 mse_y:1700.34 mse_u:163.50 mse_v:138.59 psnr_avg:18.47 psnr_y:15.83 psnr_u:26.00 psnr_v:26.71 
n:148 mse_avg:894.33 mse_y:1638.87 mse_u:161.56 mse_v:138.03 psnr_avg:18.62 psnr_y:15.99 psnr_u:26.05 psnr_v:26.73 
n:149 mse_avg:965.39 mse_y:1784.66 mse_u:157.55 mse_v:134.69 psnr_avg:18.28 psnr_y:15.62 psnr_u:26.16 psnr_v:26.84 
n:150 mse_avg:1187.38 mse_y:2225.50 mse_u:159.96 mse_v:138.55 psnr_avg:17.38 psnr_y:14.66 psnr_u:26.09 psnr_v:26.71 
n:151 mse_avg:1257.15 mse_y:2368.54 mse_u:156.13 mse_v:135.38 psnr_avg:17.14 psnr_y:14.39 psnr_u:26.20 psnr_v:26.82 
n:152 mse_avg:1236.22 mse_y:2326.01 mse_u:157.28 mse_v:135.60 psnr_avg:17.21 psnr_y:14.46 psnr_u:26.16 psnr_v:26.81 
n:153 mse_avg:1005.96 mse_y:1864.83 mse_u:159.13 mse_v:135.06 psnr_avg:18.10 psnr_y:15.42 psnr_u:26.11 psnr_v:26.83 
n:154 mse_avg:745.82 mse_y:1346.18 mse_u:161.03 mse_v:129.88 psnr_avg:19.40 psnr_y:16.84 psnr_u:26.06 psnr_v:27.00 
n:155 mse_avg:241.79 mse_y:345.85 mse_u:158.54 mse_v:116.93 psnr_avg:24.30 psnr_y:22.74 psnr_u:26.13 psnr_v:27.45 
n:156 mse_avg:241.70 mse_y:345.49 mse_u:159.28 mse_v:116.55 psnr_avg:24.30 psnr_y:22.75 psnr_u:26.11 psnr_v:27.47 
n:157 mse_avg:734.36 mse_y:1319.66 mse_u:165.32 mse_v:132.81 psnr_avg:19.47 psnr_y:16.93 psnr_u:25.95 psnr_v:26.90 
n:158 mse_avg:1037.11 mse_y:1916.70 mse_u:169.15 mse_v:145.86 psnr_avg:17.97 psnr_y:15.31 psnr_u:25.85 psnr_v:26.49 
n:159 mse_avg:1323.74 mse_y:2483.06 mse_u:172.56 mse_v:156.25 psnr_avg:16.91 psnr_y:14.18 psnr_u:25.76 psnr_v:26.19 
n:160 mse_avg:1552.71 mse_y:2938.81 mse_u:171.31 mse_v:161.92 psnr_avg:16.22 psnr_y:13.45 psnr_u:25.79 psnr_v:26.04 
n:161 mse_avg:1741.77 mse_y:3321.50 mse_u:164.36 mse_v:159.72 psnr_avg:15.72 psnr_y:12.92 psnr_u:25.97 psnr_v:26.10 
n:162 mse_avg:1900.13 mse_y:3642.72 mse_u:156.94 mse_v:158.13 psnr_avg:15.34 psnr_y:12.52 psnr_u:26.17 psnr_v:26.14 
n:163 mse_avg:1899.78 mse_y:3642.20 mse_u:156.35 mse_v:158.35 psnr_avg:15.34 psnr_y:12.52 psnr_u:26.19 psnr_v:26.13 
n:164 mse_avg:2087.48 mse_y:4025.85 mse_u:147.27 mse_v:150.97 psnr_avg:14.93 psnr_y:12.08 psnr_u:26.45 psnr_v:26.34 
n:165 mse_avg:2309.20 mse_y:4478.39 mse_u:136.17 mse_v:143.84 psnr_avg:14.50 psnr_y:11.62 psnr_u:26.79 psnr_v:26.55 
n:166 mse_avg:2551.80 mse_y:4970.65 mse_u:127.38 mse_v:138.53 psnr_avg:14.06 psnr_y:11.17 psnr_u:27.08 psnr_v:26.72 
n:167 mse_avg:2819.92 mse_y:5506.46 mse_u:123.32 mse_v:143.42 psnr_avg:13.63 psnr_y:10.72 psnr_u:27.22 psnr_v:26.56 
