025-04-03 09:45:33,397 - app.ui.tabs.options_tab - INFO - Populated VMAF model dropdown with 3 models
2025-04-03 09:51:45,348 - app.utils - INFO - FFmpeg path: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffmpeg.exe
2025-04-03 09:51:45,348 - app.utils - INFO - FFprobe path: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffprobe.exe
2025-04-03 09:51:45,349 - app.vmaf_analyzer - INFO - Looking for VMAF model at: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\models\vmaf_v0.6.1.json
2025-04-03 09:51:45,349 - app.vmaf_analyzer - INFO - Using VMAF model from: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\models\vmaf_v0.6.1.json
2025-04-03 09:51:45,349 - app.vmaf_analyzer - INFO - Working directory changed to test directory for relative paths
2025-04-03 09:51:45,350 - app.vmaf_analyzer - INFO - Using relative paths: Test_01_20250403_095145_vmaf.json, Test_01_20250403_095145_vmaf.csv, Test_01_20250403_095145_psnr.txt, Test_01_20250403_095145_ssim.txt
2025-04-03 09:51:45,350 - app.vmaf_analyzer - INFO - Trying basic VMAF command with relative paths...
2025-04-03 09:51:45,350 - app.vmaf_analyzer - INFO - Command: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffmpeg.exe -hide_banner -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_capture_094819_aligned.mp4 -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_094819_aligned.mp4 -lavfi libvmaf=log_path=Test_01_20250403_095145_vmaf.json:log_fmt=json -f null -
2025-04-03 09:52:03,645 - app.vmaf_analyzer - INFO - Basic VMAF command succeeded!
2025-04-03 09:52:03,646 - app.vmaf_analyzer - INFO - Running PSNR analysis...
2025-04-03 09:52:03,646 - app.vmaf_analyzer - INFO - PSNR command: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffmpeg.exe -hide_banner -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_capture_094819_aligned.mp4 -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_094819_aligned.mp4 -lavfi psnr=stats_file=Test_01_20250403_095145_psnr.txt -f null -
2025-04-03 09:52:04,479 - app.vmaf_analyzer - INFO - Running SSIM analysis...
2025-04-03 09:52:04,479 - app.vmaf_analyzer - INFO - SSIM command: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffmpeg.exe -hide_banner -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_capture_094819_aligned.mp4 -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_094819_aligned.mp4 -lavfi ssim=stats_file=Test_01_20250403_095145_ssim.txt -f null -
2025-04-03 09:52:05,343 - app.vmaf_analyzer - INFO - Parsed SSIM from separate file: 0.983505
2025-04-03 09:52:05,345 - app.vmaf_analyzer - INFO - VMAF Score: 64.264635
2025-04-03 09:52:05,346 - app.vmaf_analyzer - INFO - PSNR Score: None
2025-04-03 09:52:05,346 - app.vmaf_analyzer - INFO - SSIM Score: 0.983505
2025-04-03 09:52:05,347 - app.vmaf_analyzer - INFO - Keeping primary capture file: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\tests\test_results\Test_01_20250403_094819\Dance01_capture_094819_aligned.mp4
